ZeroLevelPlot,Point1 Latitude,Point1 Longitude,Point1 Name,Point2 Latitude,Point2 Longitude,Point2 Name,Point3 Latitude,Point3 Longitude,Point3 Name
ZL0142,11.010002116820747,76.92375226545681,FC0067,11.002484691751992,76.92779794701536,DC016,11.009898996157435,76.93205998520894,FC0040
ZL0143,11.010002116820747,76.92375226545681,FC0067,11.01741647128428,76.92801410766316,FC0068,11.009898996157435,76.93205998520894,FC0040
ZL0144,11.01741647128428,76.92801410766316,FC0068,11.009898996157435,76.93205998520894,FC0040,11.017313594219923,76.93632244100587,DC017
ZL0145,11.01741647128428,76.92801410766316,FC0068,11.024831119188596,76.93227636749859,FC0069,11.017313594219923,76.93632244100587,DC017
ZL0146,11.024831119188596,76.93227636749859,FC0069,11.017313594219923,76.93632244100587,DC017,11.024728485584733,76.9405853144203,FC0041
ZL0147,11.024831119188596,76.93227636749859,FC0069,11.032246060178917,76.93653904497737,FC0070,11.024728485584733,76.9405853144203,FC0041
ZL0148,11.032246060178917,76.93653904497737,FC0070,11.024728485584733,76.9405853144203,FC0041,11.032143669897021,76.94484860546645,DC018
ZL0149,11.032246060178917,76.93653904497737,FC0070,11.039661293900416,76.94080214011366,FC0071,11.032143669897021,76.94484860546645,DC018
ZL0150,11.047178487433603,76.93675567040276,DC036,11.047076819998102,76.94506565292164,FC0072,11.039661293900416,76.94080214011366,FC0071
ZL0151,11.047076819998102,76.94506565292164,FC0072,11.039661293900416,76.94080214011366,FC0071,11.039559146801837,76.94911231415841,FC0042
ZL0152,11.047076819998102,76.94506565292164,FC0072,11.046974915944133,76.95337644051038,DC019,11.039559146801837,76.94911231415841,FC0042
ZL0153,11.046974915944133,76.95337644051038,DC019,11.039559146801837,76.94911231415841,FC0042,11.039456763175894,76.95742329312087,FC0043
ZL0154,11.046974915944133,76.95337644051038,DC019,11.046872775210305,76.96168803293622,FC0073,11.039456763175894,76.95742329312087,FC0043
ZL0155,11.046872775210305,76.96168803293622,FC0073,11.039456763175894,76.95742329312087,FC0043,11.039354142961349,76.96573507676815,FC0044
ZL0156,11.046872775210305,76.96168803293622,FC0073,11.046770397735312,76.97000042996618,DC020,11.039354142961349,76.96573507676815,FC0044
ZL0157,11.046770397735312,76.97000042996618,DC020,11.039354142961349,76.96573507676815,FC0044,11.039251286096857,76.9740476648673,FC0045
ZL0158,11.046770397735312,76.97000042996618,DC020,11.046667783457778,76.97831363136717,FC0074,11.039251286096857,76.9740476648673,FC0045
ZL0159,11.046667783457778,76.97831363136717,FC0074,11.039251286096857,76.9740476648673,FC0045,11.039148192521232,76.98236105718509,FC0046
ZL0160,11.046667783457778,76.97831363136717,FC0074,11.04656493231648,76.98662763690587,DC021,11.039148192521232,76.98236105718509,FC0046
ZL0161,11.04656493231648,76.98662763690587,DC021,11.039044862173231,76.99067525348812,FC0075,11.039148192521232,76.98236105718509,FC0046
ZL0162,11.039044862173231,76.99067525348812,FC0075,11.039148192521232,76.98236105718509,FC0046,11.031628171639488,76.98640847822801,FC0047
ZL0163,11.039044862173231,76.99067525348812,FC0075,11.031524362190028,76.99472286521195,DC022,11.031628171639488,76.98640847822801,FC0047
ZL0164,11.031524362190028,76.99472286521195,DC022,11.031628171639488,76.98640847822801,FC0047,11.024107721147924,76.99045589445556,FC0048
ZL0165,11.031524362190028,76.99472286521195,DC022,11.024003432702308,76.99877047203697,FC0076,11.024107721147924,76.99045589445556,FC0048
ZL0166,11.024003432702308,76.99877047203697,FC0076,11.024107721147924,76.99045589445556,FC0048,11.016586841382068,76.9945033058274,FC0049
ZL0167,11.024003432702308,76.99877047203697,FC0076,11.016482074045673,77.0028180739228,DC023,11.016586841382068,76.9945033058274,FC0049
ZL0168,11.016482074045673,77.0028180739228,DC023,11.016586841382068,76.9945033058274,FC0049,11.009065532677516,76.99855071230309,FC0050
ZL0169,11.016482074045673,77.0028180739228,DC023,11.008960286555826,77.00686567082903,FC0077,11.009065532677516,76.99855071230309,FC0050
ZL0170,11.008960286555826,77.00686567082903,FC0077,11.009065532677516,76.99855071230309,FC0050,11.001543795370019,77.00259811384225,FC0051
ZL0171,11.008960286555826,77.00686567082903,FC0077,11.00143807056858,77.01091326271528,DC024,11.001543795370019,77.00259811384225,FC0051
ZL0172,11.00143807056858,77.01091326271528,DC024,10.994021629795382,77.00664551040452,FC0078,11.001543795370019,77.00259811384225,FC0051
ZL0173,10.994021629795382,77.00664551040452,FC0078,11.001543795370019,77.00259811384225,FC0051,10.994127596948598,76.99833097433797,FC0052
ZL0174,10.994021629795382,77.00664551040452,FC0078,10.986605482003032,77.0023781755502,DC025,10.994127596948598,76.99833097433797,FC0052
ZL0175,10.986605482003032,77.0023781755502,DC025,10.994127596948598,76.99833097433797,FC0052,10.986711691646851,76.99406425230225,FC0053
ZL0176,10.986605482003032,77.0023781755502,DC025,10.979189627546829,76.99811125813841,FC0079,10.986711691646851,76.99406425230225,FC0053
ZL0177,10.979189627546829,76.99811125813841,FC0079,10.986711691646851,76.99406425230225,FC0053,10.97929607981993,76.98979794772116,FC0054
ZL0178,10.979189627546829,76.99811125813841,FC0079,10.971774066781887,76.99384475815523,DC026,10.97929607981993,76.98979794772116,FC0054
ZL0179,10.971774066781887,76.99384475815523,DC026,10.97929607981993,76.98979794772116,FC0054,10.971880761822925,76.98553206058071,FC0055
ZL0180,10.971774066781887,76.99384475815523,DC026,10.964358800063236,76.98957867558667,FC0080,10.971880761822925,76.98553206058071,FC0055
ZL0181,10.964358800063236,76.98957867558667,FC0080,10.971880761822925,76.98553206058071,FC0055,10.964465738010759,76.98126659086694,FC0056
ZL0182,10.964358800063236,76.98957867558667,FC0080,10.956943827745851,76.98531301041882,DC027,10.964465738010759,76.98126659086694,FC0056
ZL0183,10.956943827745851,76.98531301041882,DC027,10.957051008738294,76.97700153856584,FC0081,10.964465738010759,76.98126659086694,FC0056
ZL0184,10.957051008738294,76.97700153856584,FC0081,10.964465738010759,76.98126659086694,FC0056,10.964572440406615,76.97295530977532,FC0057
